,Name,Country,Years active,Proven victims,Possible victims,Notes,Start year,End year,Number of years active,involving children,torture,arsenist,strangulation,sexually motivated,cannibalism,abduction,poison,guns,prison,execution,mental institution,suicide,Methods of killing
286,Bertha Gifford,United States,1909 to 1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.[288]",1909.0,1928,19.0,1,0,1,0,0,0,0,1,1,0,0,1,0,4
287,Bernhard Prigan,Allied-occupied Germany  West Germany,1947 to 1952,3,16,Killed women near highways; confessed to a total of 16 murders.[289],1947.0,1952,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
288,Stephen Griffiths,United Kingdom,2009 to 2010,3,14,"Known to have killed three prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.[290]",2009.0,2010,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,3
289,Koos Hertogs,Netherlands,1979 to 1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s.",1979.0,1980,1.0,0,0,0,0,1,0,1,0,1,0,0,0,0,2
290,Chisako Kakehi,Japan,2007 to 2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.[291]",2007.0,2013,6.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
291,Dorothea Puente,United States,1982 to 1988,3,9–25,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.[292],1982.0,1988,6.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
292,Patrick Mackay,United Kingdom,1973 to 1975,3,12,"Burglar suspect of 12 violent murders during robberies, charged with five and convicted of three. Bragged that he had killed 11 people. In prison for life.[293]",1973.0,1975,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
293,Leonarda Cianciulli,Kingdom of Italy,1939 to 1940,3,-,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes.[294]",1939.0,1940,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
294,Albert Fish,United States,1924 to 1932,3,9-100+,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.[295],1924.0,1932,8.0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
296,Harold Shipman,United Kingdom,1975 to 1998,218,250[296],"Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry but is believed to have killed up to 250 people.[297][298] He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison.",1975.0,1998,23.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
297,Miyuki Ishikawa,Japan,1940s,103,169,Killed more than 103 newborn children. As a maternity nurse she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948 and sentenced to four years in prison.[299],1940.0,1940,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,2
298,Niels Högel,Germany,1999 to 2005,85,300[300],"Nurse who was sentenced to life imprisonment for the murder of more than 85 people.[301][302] In November 2017, German prosecutors said that the number of victims was at least 106,[303] with Högel admitting, in October 2018, to murdering 100 patients.[11] By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years.[300]",1999.0,2005,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
299,Louay Omar Mohammed al-Taei,Iraq,2005 to 2006,43,,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.[304]",2005.0,2006,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
300,Donald Harvey,United States,1970 to 1987,37,57–87,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.[305],1970.0,1987,17.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
301,Jane Toppan,United States,1885 to 1901,31,,Nurse that confessed to poisoning 31 patients for her own sexual gratification. After overdosing them she would get in bed and lie with them as they died. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.[306],1885.0,1901,16.0,0,0,0,0,1,0,0,1,1,0,0,1,0,3
302,Stephan Letter,Germany,2003 to 2004,29,29+,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.[307],2003.0,2004,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
303,Anders Hansson,Sweden,1978 to 1979,27,,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).[308]",1978.0,1979,1.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
304,Marcel Petiot,France,1926 to 1944,26,63,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946.[309],1926.0,1944,18.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
305,Arnfinn Nesset,Norway,1983 and earlier,22,27–138+,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.[310]",1983.0,1983,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2
306,Roger Andermatt,Switzerland,1995 to 2001,22,22,"Known as the ""Death-Keeper of Lucerne""; nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.[311]",1995.0,2001,6.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
307,Charles Cullen,United States,1988 to 2003,29,35–400+,"Nurse in New Jersey and Pennsylvania who murdered at least 29 patients between 1988 and 2003, but experts believe the number could be as high as 400. Cullen has admitted to more murders, which authorities believe are likely, but the murders cannot be verified due to lack of records.[312]",1988.0,2003,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
308,Sonya Caleffi,Italy,2003 to 2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.[313],2003.0,2004,1.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2
309,Maxim Petrov,Russia,2000 to 2002,12,19,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.[314],2000.0,2002,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
310,Ann Arbor Hospital Killer,United States,1975,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.[315],1975.0,1975,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
311,Ludivine Chambet,France,2012 to 2013,10,10,"Known as ""The Poisoner of Chambéry""; nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.[316]",2012.0,2013,1.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2
312,Petr Zelenka,Czech Republic,2006,7,21[317],Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.,2006.0,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
313,Orville Lynn Majors,United States,1993 to 1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.[318]",1993.0,1995,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
314,Efren Saldivar,United States,1989 to 1997,6,50+,"Respiratory therapist who killed six patients, possibly as many as 120.[319]",1989.0,1997,8.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
315,Christine Malèvre,France,1998 and earlier,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.[320]",1998.0,1998,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
316,Antoinette Scieri,France,1924 to 1925,6,12+,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.[321],1924.0,1925,1.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2
317,Kristen Gilbert,United States,1990 to 1996,5,70+,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.[322]",1990.0,1996,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
318,Amy Archer-Gilligan,United States,1910 to 1917,5,48+,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.[323]",1910.0,1917,7.0,0,0,0,0,0,0,0,1,1,0,0,1,0,2
319,Michael Swango,United States  Zimbabwe,1981 to 1997,4,35–60+,Medical Doctor who killed patients.[324],1981.0,1997,16.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
320,Kermit Gosnell,United States,1989? to 2011,4,100+,"Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.",1989.0,2011,22.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
321,Edson Izidoro Guimarães,Brazil,1999 and earlier,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.[325]",1999.0,1999,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
322,Richard Angelo,United States,1987,4,25,"Known as ""The Angel of Death"". New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.[326]",1987.0,1987,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
323,Beverley Allitt,United Kingdom,1991,4,-,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.[327],1991.0,1991,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
324,Andrés Ulises Castillo Villarreal,Mexico,2009 to 2015,3,12+,"Known as ""The Chihuahua Ripper""; drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.[328]",2009.0,2015,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
325,Elfriede Blauensteiner,Austria,1981 to 1995,3,10+,"Known as ""The Black Widow""; poisoned people for material gain; died from a brain tumor in 2003.[329]",1981.0,1995,14.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
327,Murder Incorporated,United States,1920s to 1940,400,1000+,"Murder Incorporated or Murder Inc. for short, was large criminal enterprise of small contract-killing groups that were collectively known as Murder Inc. Run by Albert ""The Mad Hatter"" Anastasia and or his close associates, the organization was responsible for the assassinations of key witnesses of early Cosa Nostra activities, so as to make them 'disappear' and break the case against the lead mobsters whenever they went to trial. In 1941 the group was exposed by former member Abe ""Kid Twist"" Reles and subsequently ceased to exist.",1920.0,1940,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
328,Philadelphia poison ring,United States,1931 to 1938,114,,"Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed in the electric chair in 1941 while the rest were given life sentences.[330]",1931.0,1938,7.0,0,0,1,0,0,0,0,1,1,0,1,0,0,3
329,Delfina and María de Jesús González,Mexico,1955 to 1964,91,,"Two sisters who ran a brothel in Mexico, hired numerous prostitutes and murdered at least 80 of them after they were deemed useless during the span of 10 years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually.[19]",1955.0,1964,9.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
330,"Peng Miaoji, Ding Yunjia and Su Xiaoping",China,1998 to 1999,77,84,"Fleeing to Shaanxi, Jiangsu, Anhui, and Henan provinces and 21 provinces and cities 33 administrative villages; during 38 burglaries, killed 77 people, seriously injured three others.[331][332]",1998.0,1999,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
331,David Avendaño Ballina and his followers,Mexico,1997 to 2007,70,70,Sex servant gang who robbed and then poisoned their clients; the leader Ballina was arrested in 2008.[333],1997.0,2007,10.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
332,Angel Makers of Nagyrév,Hungary,1911 to 1929,50,300+,"26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh.[334]",1911.0,1929,18.0,1,0,1,0,0,0,0,1,1,0,0,0,0,4
333,Long Zhimin and Yan Shuxia,China,1983 to 1985,48,48+,Shaanxi Province Wang Shou villagers Long Zhimin and Yan Shuxia in the home has killed 48 people.[335],1983.0,1985,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
334,"Bian kuang, Fu Xinyuan and Luo Lianshun",China,2001 to 2002,41,,"Manufacturing 51 cases of murder, robbery, rape, killing 41 people. Bian Kuang personally killed 39 people.[336]",2001.0,2002,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
335,Ryno-Skachevsky gang,Russia,2006 to 2007,37,,"Racist skinhead gang, led by Artur Ryno and Pavel Skachevsky, who killed people from non-European ethnicities or backgrounds; both sentenced to 10 years of penal labour.[337]",2006.0,2007,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
336,Gang of Amazons,Russia,2003 to 2013,30,,"Family of robbers and serial killers, led by the parents Inessa Tarverdiyeva and Roman Podkopaev.[338]",2003.0,2013,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
337,"Dean Corll, David Owen Brooks and Elmer Wayne Henley",United States,1970 to 1973,28,29+,"Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on 8 August 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered.[339][340]",1970.0,1973,3.0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
338,Brabant killers,Belgium  France,1982 to 1985,28,40+,"Gang made up by at least three extremely violent robbers, none of whom was ever identified or apprehended. Their bloodlust increased dramatically in their last year of activity, when they began shooting passersby before a robbery, including children, for no seeming reason. Some have theorized links to Operation Gladio.[341]",1982.0,1985,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
339,Adolfo Constanzo and Sara Aldrete,Mexico,1987? to 1989,25,,"""The Godparents of Matamoros"". Leader and second-in-command of a drug-smuggling cult that abducted men to perform human sacrifices.[342]",1987.0,1989,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
340,Shankill Butchers,United Kingdom,1975 to 1982,23,23+,"Ulster Loyalist gang led by Lenny Murphy, who killed people in sectarian attacks.[343]",1975.0,1982,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
341,Viktor Sayenko and Igor Suprunyuk,Ukraine,2007,21,,"""The Dnepropetrovsk Maniacs"". A pair of 19-year-olds who, over the course of less than a month, attacked and murdered passersby while out on walks. They recorded videos of some of the murders, including one which subsequently leaked to the Internet.[344]",2007.0,2007,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
342,Marcelo de Jesus Silva and his death squad,Brazil,? to 2010?,20,,"Brazilian man convicted of 20 counts of murder, robbery, drug trafficking and death squad. As he had 1.28m in height, he was nicknamed Chucky and Pigmeu. Murdered in 2010 by rivals traffickers.",,2010,,0,0,0,0,0,0,0,0,1,0,0,0,0,1
343,Wang Zongfang and Wang Zongwei,China,1983,19,,Killed soldiers using various arms in three provinces. Executed in 1983.[345],1983.0,1983,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
344,Anísio Ferreira de Sousa and followers,Brazil,1989 to 1992,19,,"Satanic ring that abducted, mutilated and sacrificed children in Altamira, Brazil. The leader, Ferreira de Sousa, was convicted to 77 years in prison for four murders and two attempted murders.[346]",1989.0,1992,3.0,1,0,0,0,0,0,1,0,1,1,0,0,0,2
345,Ripper Crew,United States,1981 to 1982,18,,"Abducted women, mostly prostitutes, then raped, tortured and killed them in Chicago, Illinois.[347]",1981.0,1982,1.0,0,1,0,0,1,0,1,0,1,0,0,0,0,3
346,John Allen Muhammad and Lee Boyd Malvo,United States,2002,17,,"Killed seven people from February to September 2002 and 10 in the Beltway sniper attacks of October 2002.  Muhammad was executed in 2009, while Malvo received life imprisonment.",2002.0,2002,0.0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
347,Vladyslav Volkovich and Volodymyr Kondratenko,Ukraine,1991 to 1997,16,20+,"""The Nighttime Killers"". Murdered homeless men and lone drivers with a variety of weapons.[348]",1991.0,1997,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
348,Death Angels,United States,1973 to 1974,16,,Four African-Americans who killed 16 white people and injured between eight and 10 in San Francisco (Zebra murders).[349],1973.0,1974,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
349,Lainz Angels of Death,Austria,1983 to 1989,15,49–200+,"Known as the ""Lainz Angels of Death""; Waltraud Wagner, Irene Leidolf, Stephanija Mayer, and Maria Gruber were nurses at the Lainz General Hospital in Vienna who admitted to murdering 49 patients.[350]",1983.0,1989,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
350,The Cleaners,Russia,2014 to 2015,15,15+,"Neo-Nazi gang, led by Pavel Voitov and Elena Lobacheva, who murdered alcoholic tramps and beggars; Voitov sentenced to life imprisonment and Lobacheva to 13 years in a penal colony.[351]",2014.0,2015,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
351,Fred West and Rosemary West,United Kingdom,1967 to 1987,12,20,"Mainly targeted young women but were also found guilty of the murder of their own daughter. Also found guilty of raping another daughter. Buried the victims around their house and local area of Gloucester. Shortly before he committed suicide in 1995, Fred West said there were more victims.[352]",1967.0,1987,20.0,0,0,0,0,1,0,0,0,1,0,0,0,1,2
352,Briley Brothers,United States,1971 to 1979,12,,"Three brothers and an accomplice responsible for 12 murders in the 1970s in Richmond, Virginia.[353]",1971.0,1979,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
353,Mailoni Brothers,Zambia,2007 to 2013,12,,Three brothers who killed at least 12 people from 2007 to 2013. Killed by Zambia Army Commandos in 2013.[354],2007.0,2013,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
354,Leonard Lake and Charles Ng,United States,1982 to 1985,11,25,"Abducted women, used them as sex slaves, and then murdered them, together with any men, women, and children who got in their way. Lake committed suicide upon arrest, but Ng was later convicted of killing 11 people. Between 1982 and 1985, Lake and Ng were believed to have abducted and killed as many as 25 victims, as evidenced by human remains found on Lake's California ranch.[355]",1982.0,1985,3.0,1,0,0,0,0,0,1,0,1,0,0,0,1,2
355,Shen Changyin and Shen Changping,China,1999 to 2004,11,,Found guilty of the murders of 11 prostitutes.[356],1999.0,2004,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
356,Polatbay Berdaliyev and Abduseit Ormanov,Uzbekistan  Kazakhstan,2011 to 2012,11,,"Raped, robbed and murdered women along desolate roads; both sentenced to life imprisonment in both countries.[357]",2011.0,2012,1.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
357,Wolfgang Abel and Marco Furlan,Italy  Germany  Netherlands,1977 to 1984,10,27,"The victims, seemingly chosen at random and killed by different methods, were found next to letters written in Italian, signed ""Ludwig"" and containing Nazi imagery, that gave a reason for why the murder had been committed. Abel and Furlan were arrested in Castiglione delle Stiviere while dousing a crowded discothèque with gasoline and sentenced in 1987 to 30 years in prison for all crimes (later reduced to 27).[358]",1977.0,1984,7.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
358,Juan Carlos Hernández and Patricia Martínez,Mexico,2012 to 2018,10,20,"Known as the ""Monsters of Ecatepec""; couple who raped, murdered and cannibalized women.[359]",2012.0,2018,6.0,0,0,0,0,1,1,0,0,1,0,0,0,0,3
359,Joshi-Abhyankar serial murderers,India,1976 to 1977,10,,"Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Executed by hanging in 1983.[360]",1976.0,1977,1.0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
360,Gerald and Charlene Gallego,United States,1978 to 1980,10,,"Killed 10 victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997.[361]",1978.0,1980,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
361,Viña del Mar psychopaths,Chile,1980 to 1981,10,,"Jorge Sagredo and Carlos Topp committed 10 murders and four rapes from 5 August 1980 to 1 November 1981 in the city of Viña del Mar. Executed by firing squad in 1985, they became the last people executed in Chile.[362]",1980.0,1981,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
362,Yevgeny Nagorny and Sergei Stavitsky,Russia,1998,10,,Killed clients with expensive cars in their autoshop in order to sell them; sentenced to life imprisonment.[363],1998.0,1998,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
363,National Socialist Underground,Germany,2000 to 2007,10,,"Neo-Nazi group who killed 10 ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects committed suicide and a third, Beate Zschäpe, was apprehended in 2011.[364]",2000.0,2007,7.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
364,Tadeusz Grzesik and the Bureaucrats Gang,Poland,1991 to 2007,8,20+,"Robbed and killed people in several Polish voivodeships, mainly owners of exchange offices.[365]",1991.0,2007,16.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
365,Edgar Álvarez Cruz and Francisco Granados,Mexico,1993 to 2003,10,14+,"Kidnapped, drugged, raped and then killed women in cotton fields.[366]",1993.0,2003,10.0,0,0,0,0,1,0,1,0,1,0,0,0,0,2
366,The Ciudad Juárez Rebels,Mexico,1995 to 1996,8,10–14,"Gang of serial killers, led by Sergio Armendáriz Diaz and Juan Contreras Jurado, who killed women in Ciudad Juárez; claimed to work for Abdul Latif Sharif.[367]",1995.0,1996,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
367,The Manson Family cult killings,United States,1967 to 1969,7,7,"A California desert cult formed by Charles Manson in 1967, the ‘Manson Family’ committed a series of murders in name of promoting Manson's goal of causing a race war that he called Helter Skelter.",1967.0,1969,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
368,Ray and Faye Copeland,United States,1986 to 1989,5,12,Oldest couple ever sentenced to death in the United States at the ages of 75 and 69; convicted of killing five men; modus operandi was to hire unskilled drifters as farmhands and later kill them.[368],1986.0,1989,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
369,Ian Brady and Myra Hindley,United Kingdom,1963 to 1965,5,12,"Responsible for the ""Moors murders"": they abducted, raped, tortured and murdered at least five children in the Manchester area before burying their victims on Saddleworth Moor as part of an experiment in ""existential experience"". The case attracted much media coverage long after the two were sentenced, especially in the United Kingdom, as Hindley sought release from prison from the 1980s but was refused and died in prison. Five victims were identified although Brady periodically claimed that there were up to twelve.",1963.0,1965,2.0,1,1,0,0,1,0,1,0,1,1,0,0,0,4
370,The Skin Hunters,Poland,2002 and earlier,5,Unknown,"Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is continuing, with over 40 remaining suspects.[369]",2002.0,2002,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
371,Loren Herzog and Wesley Shermantine,United States,1984 to 1999,4,19+,"Known as the ""Speed Freak Killers""; California duo initially convicted of four murders from 1984 to 1999.[370]",1984.0,1999,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
372,Raymond Fernandez and Martha Beck,United States,1947 to 1949,3,20,"Known as the ""Lonely Hearts Killers"", Fernandez and Beck extorted women Fernandez met through lonely hearts advertisements. Both were arrested in Michigan in 1949 for the murders of a woman and her two-year-old daughter, but Michigan authorities waived prosecution and extradited the pair to New York to face trial for a murder that occurred there because New York had the death penalty while Michigan did not. They were convicted of that murder and executed in 1951.[371]",1947.0,1949,2.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
373,Beasts of Satan,Italy,1998 to 2004,3,18,"Cult members responsible for ritualistic murders, and are suspected in other cases, including suicides.[372]",1998.0,2004,6.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
375,Ivomoku Bakusuba,Burundi,1940s,67,,"Confessed to killing 67 children by strangling them with a bedsheet. Committed suicide, ""probably in late 1940s or in early 1950s"". As information on this serial killer was only revealed by a police officer in 2018 during a conversation with a Brazilian writer, and there is no information on his conviction, the confirmation that he was a serial killer is debatable.",1940.0,1940,0.0,1,0,0,1,0,0,0,0,1,0,0,0,1,3
376,Bruno Lüdke,German Reich  Nazi Germany,1928 to 1943,51,86,"Mentally disabled, Lüdke was arrested after being discovered with a corpse. Police declared him insane and imprisoned him in a psychiatric hospital, where he died when he was experimented on. The only evidence tying him to the crimes was a confession that may have been physically coerced. He was never given a trial and he is generally[by whom?] considered innocent.[373]",1928.0,1943,15.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
377,"""Highway of Tears"" Killer",Canada,1969 to 2018 ?,18,83,"All the victims were young women and were last seen on Highway 16 in British Columbia between Prince George and Prince Rupert. If they were all victims of the same person, it would be one of the most proficient serial killers in Canada and one with the longest career in the world. Some of the murders have been linked to American criminal Bobby Jack Fowler, although he was in prison at the time others were committed.[374][375]",1969.0,2018,49.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
378,Gerald Stano,United States,1969 to 1980,22,41,Confessed to killing 41 women in mostly Florida and New Jersey areas. Some controversy surrounds the case as he is believed by some to have been a serial confessor.[376],1969.0,1980,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
379,Orlando Sabino,Brazil,1966 ? - 1971 ?,12,,"Suspected of murdering 12 people in Minas Gerais and Goiás, as well as mutilating several animals; sentenced to 38 years imprisonment and died from a heart attack in 2013. There are many theories that he was actually framed by the Military Dictatorship in Brazil, who did the murders for political reasons.[377]",1966.0,1966,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
380,Pedro Rosa da Conceição,Brazil,"1904 to 1911, ???",3,17,"Brazilian mass murderer who killed three people and wounded thirteen others on April 22, 1904. Killed his cellmate and a guard in 1911, and is said to have murdered a family of twelve people in an unspecified date and year. Died in 1919. The family murders are not verified.",1904.0,1911,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
381,Henry Lee Lucas,United States,1960 to 1983,3,3000+,"Confessed to killing at least 600 people but later recanted and is suspected of lying about a majority of the murders. He originally offered a list of 77 women from 19 different states, but as he confessed to more and more murders, the details became increasingly more bizarre. Some included dismemberment, necrophilia, even cannibalism. Lawmen linked Lucas and Ottis Toole to 81 murders only. Convicted of 11 murders.[378] The true number of murders committed by Lucas is unknown, but it is likely Lucas was not nearly as prolific a serial killer as he initially claimed to be, as most of his murder confessions were thoroughly discredited, and he himself claimed only one murder—that of his mother.[379][380][381]",1960.0,1983,23.0,0,1,0,0,0,1,0,0,1,0,0,0,0,3
382,Charles Quansah,Ghana,1993 to 2001,8,34,"Quansah, who had been in prison for rape twice, was held as a suspect in the deaths of 34 women across the country, including his girlfriend who was strangled in 2000, and eventually confessed to eight murders. He later denied the killings, claiming that the confessions had been extracted under torture, and that the police had also tried unsuccessfully to force him to implicate a number of politicians including former president Jerry Rawlings, his wife Nana Konadu Agyeman and an unidentified member of president John Kufuor's administration.[382][383]",1993.0,2001,8.0,0,1,0,1,1,0,0,0,1,1,0,0,0,4
